epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,239.518,0.8356,0.4753,0.96038,0.99707,0.96667,0.9737,0.78836,0.83187,0.3687,0.99923,0.00155423,0.00155423,0.00155423
43,245.429,0.86024,0.49494,0.97131,0.99752,0.96667,0.97467,0.76129,0.88334,0.40512,0.99393,0.00155148,0.00155148,0.00155148
44,250.956,0.84132,0.48146,0.96015,0.99609,0.96667,0.97152,0.75554,0.8264,0.38876,1.01632,0.00154873,0.00154873,0.00154873
45,256.35,0.83789,0.48871,0.97584,0.99439,0.96667,0.96892,0.73444,0.87619,0.41199,1.00233,0.00154598,0.00154598,0.00154598
46,261.88,0.82944,0.48144,0.94598,0.99486,0.96667,0.96805,0.72437,0.90118,0.46445,1.02748,0.00154323,0.00154323,0.00154323
47,267.322,0.84479,0.47909,0.97195,0.99431,0.96667,0.96802,0.72303,0.95441,0.42754,1.06541,0.00154047,0.00154047,0.00154047
48,272.951,0.82707,0.46709,0.9719,0.99666,0.96667,0.97152,0.75797,0.93088,0.42193,1.02078,0.00153772,0.00153772,0.00153772
49,278.458,0.8048,0.47,0.95899,0.99689,0.96667,0.97038,0.78324,0.83426,0.40689,1.0312,0.00153497,0.00153497,0.00153497
50,284.012,0.83349,0.47268,0.97028,0.99685,0.96667,0.9686,0.73238,0.9166,0.4497,1.06196,0.00153222,0.00153222,0.00153222
51,289.963,0.81248,0.46,0.95154,0.99561,0.96667,0.97114,0.78392,0.86469,0.42124,1.01687,0.00152947,0.00152947,0.00152947
52,295.281,0.7804,0.45138,0.94742,0.99569,0.96667,0.97022,0.78544,0.82518,0.38385,1.0277,0.00152672,0.00152672,0.00152672
53,300.988,0.81427,0.47085,0.95334,0.99524,0.96667,0.96935,0.77622,0.83015,0.4006,1.00646,0.00152397,0.00152397,0.00152397
54,306.528,0.82572,0.47583,0.95273,0.99725,0.96667,0.97107,0.7609,0.8547,0.3909,0.99103,0.00152122,0.00152122,0.00152122
55,312.049,0.81988,0.47107,0.97116,0.99763,0.96667,0.97257,0.78724,0.86034,0.42397,1.01099,0.00151847,0.00151847,0.00151847
56,317.699,0.78785,0.46597,0.94276,0.99716,0.96667,0.97342,0.76726,0.8756,0.40608,1.01287,0.00151572,0.00151572,0.00151572
57,323.303,0.77915,0.43751,0.93713,0.99752,0.96667,0.97169,0.73821,0.89637,0.40549,1.03473,0.00151297,0.00151297,0.00151297
58,328.878,0.78131,0.45085,0.94791,0.99678,0.96667,0.97268,0.76583,0.90281,0.40495,1.02502,0.00151022,0.00151022,0.00151022
