epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
31,233.552,0.6106,0.33168,0.87805,0.99741,1,0.995,0.78136,0.85702,0.37005,0.9899,0.00475345,0.00158448,0.00475345,0.00158448,0.00475345,0.00158448,0.00475345,0.00158448
32,240.243,0.6078,0.33463,0.86234,0.99506,1,0.995,0.80923,0.82412,0.35961,0.98007,0.0047452,0.00158173,0.0047452,0.00158173,0.0047452,0.00158173,0.0047452,0.00158173
33,246.245,0.58785,0.32999,0.87659,0.99477,1,0.995,0.79603,0.85505,0.35307,0.99455,0.00473695,0.00157898,0.00473695,0.00157898,0.00473695,0.00157898,0.00473695,0.00157898
34,252.371,0.59437,0.33758,0.87114,0.9951,1,0.995,0.76633,0.86485,0.38295,1.01047,0.0047287,0.00157623,0.0047287,0.00157623,0.0047287,0.00157623,0.0047287,0.00157623
35,258.318,0.56854,0.3379,0.86718,0.9964,1,0.995,0.79019,0.83135,0.36242,0.99433,0.00472044,0.00157348,0.00472044,0.00157348,0.00472044,0.00157348,0.00472044,0.00157348
36,264.983,0.58235,0.33629,0.87673,0.997,1,0.995,0.80278,0.87217,0.31725,1.0231,0.00471219,0.00157073,0.00471219,0.00157073,0.00471219,0.00157073,0.00471219,0.00157073
37,270.661,0.53797,0.32164,0.85954,0.99774,1,0.995,0.82606,0.83507,0.32089,1.00058,0.00470394,0.00156798,0.00470394,0.00156798,0.00470394,0.00156798,0.00470394,0.00156798
38,277.263,0.55597,0.33092,0.85841,0.99684,1,0.995,0.79793,0.87219,0.36743,1.02161,0.00469569,0.00156523,0.00469569,0.00156523,0.00469569,0.00156523,0.00469569,0.00156523
39,283.229,0.59497,0.34106,0.87522,0.99712,1,0.995,0.80247,0.856,0.3834,1.00138,0.00468744,0.00156248,0.00468744,0.00156248,0.00468744,0.00156248,0.00468744,0.00156248
40,289.795,0.55478,0.32579,0.8713,0.99699,1,0.995,0.81034,0.87897,0.33649,1.01672,0.00467919,0.00155973,0.00467919,0.00155973,0.00467919,0.00155973,0.00467919,0.00155973
41,295.865,0.55404,0.32988,0.87383,0.99783,1,0.995,0.80509,0.8483,0.31188,0.99961,0.00467093,0.00155698,0.00467093,0.00155698,0.00467093,0.00155698,0.00467093,0.00155698
42,301.684,0.55757,0.32729,0.86669,0.99759,1,0.995,0.78133,0.87854,0.31996,1.00834,0.00466268,0.00155423,0.00466268,0.00155423,0.00466268,0.00155423,0.00466268,0.00155423
43,307.645,0.55396,0.31514,0.86719,0.99756,1,0.995,0.77717,0.86399,0.34188,1.00649,0.00465443,0.00155148,0.00465443,0.00155148,0.00465443,0.00155148,0.00465443,0.00155148
44,314.058,0.55395,0.32427,0.86164,0.99824,1,0.995,0.76774,0.8714,0.34954,1.00151,0.00464618,0.00154873,0.00464618,0.00154873,0.00464618,0.00154873,0.00464618,0.00154873
45,319.778,0.55017,0.31993,0.86422,0.99803,1,0.995,0.7825,0.91505,0.36102,1.02616,0.00463793,0.00154598,0.00463793,0.00154598,0.00463793,0.00154598,0.00463793,0.00154598
46,325.825,0.51636,0.29664,0.84801,0.99804,1,0.995,0.80167,0.90101,0.3578,1.02491,0.00462968,0.00154323,0.00462968,0.00154323,0.00462968,0.00154323,0.00462968,0.00154323
47,331.91,0.53602,0.2998,0.86869,0.99799,1,0.995,0.80411,0.90263,0.34354,1.02221,0.00462142,0.00154047,0.00462142,0.00154047,0.00462142,0.00154047,0.00462142,0.00154047
48,338.433,0.5546,0.31474,0.85703,0.99798,1,0.995,0.79431,0.88805,0.34014,1.02809,0.00461317,0.00153772,0.00461317,0.00153772,0.00461317,0.00153772,0.00461317,0.00153772
49,344.321,0.53099,0.30689,0.84924,0.99804,1,0.995,0.81131,0.81229,0.34392,0.99235,0.00460492,0.00153497,0.00460492,0.00153497,0.00460492,0.00153497,0.00460492,0.00153497
50,350.242,0.56984,0.33285,0.87173,0.99793,1,0.995,0.80261,0.83838,0.35596,1.00503,0.00459667,0.00153222,0.00459667,0.00153222,0.00459667,0.00153222,0.00459667,0.00153222
51,356.159,0.52377,0.2995,0.85108,0.99812,1,0.995,0.80196,0.88527,0.33424,1.01463,0.00458842,0.00152947,0.00458842,0.00152947,0.00458842,0.00152947,0.00458842,0.00152947
52,362.917,0.54563,0.31203,0.85699,0.99751,1,0.995,0.81381,0.84399,0.32708,0.99552,0.00458017,0.00152672,0.00458017,0.00152672,0.00458017,0.00152672,0.00458017,0.00152672
53,368.598,0.52228,0.3044,0.85887,0.99756,1,0.995,0.81492,0.8894,0.34188,1.00587,0.00457191,0.00152397,0.00457191,0.00152397,0.00457191,0.00152397,0.00457191,0.00152397
54,374.572,0.52124,0.3141,0.84596,0.9981,1,0.995,0.81523,0.8588,0.35611,0.99546,0.00456366,0.00152122,0.00456366,0.00152122,0.00456366,0.00152122,0.00456366,0.00152122
55,380.54,0.51992,0.31285,0.84903,0.99798,1,0.995,0.797,0.89607,0.34157,1.02447,0.00455541,0.00151847,0.00455541,0.00151847,0.00455541,0.00151847,0.00455541,0.00151847
56,387.201,0.50863,0.30791,0.85124,0.9979,1,0.995,0.81133,0.88268,0.36622,1.02335,0.00454716,0.00151572,0.00454716,0.00151572,0.00454716,0.00151572,0.00454716,0.00151572
57,392.932,0.53004,0.32269,0.85917,0.99805,1,0.995,0.80775,0.87835,0.36226,1.01169,0.00453891,0.00151297,0.00453891,0.00151297,0.00453891,0.00151297,0.00453891,0.00151297
58,398.859,0.50535,0.30015,0.84004,0.99789,1,0.995,0.8266,0.81323,0.316,0.99958,0.00453066,0.00151022,0.00453066,0.00151022,0.00453066,0.00151022,0.00453066,0.00151022
59,405.503,0.49621,0.29996,0.84969,0.99796,1,0.995,0.822,0.80314,0.32833,1.00376,0.0045224,0.00150747,0.0045224,0.00150747,0.0045224,0.00150747,0.0045224,0.00150747
