                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.77233,                0.54958,                 1.2111,                0.84127,                0.97886,                  0.995,                0.68574,                 1.0458,                0.86072,                 1.5273,              0.0013782,              0.0013782,              0.0013782
                     37,                0.75247,                0.52379,                 1.2032,                0.95853,                   0.95,                0.98667,                0.66677,                 1.0437,                0.72586,                 1.5639,              0.0013699,              0.0013699,              0.0013699
                     38,                0.74216,                0.50138,                 1.1999,                0.97486,                      1,                  0.995,                0.65711,                 1.0854,                 0.6353,                 1.5669,              0.0013617,              0.0013617,              0.0013617
                     39,                0.72616,                 0.5025,                 1.1929,                0.97024,                      1,                  0.995,                0.64668,                 1.1202,                0.59811,                 1.5929,              0.0013534,              0.0013534,              0.0013534
                     40,                 0.7721,                0.51867,                 1.1938,                0.96861,                      1,                  0.995,                 0.6676,                 1.1089,                0.61207,                 1.5314,              0.0013452,              0.0013452,              0.0013452
                     41,                0.74851,                0.48728,                 1.1749,                0.96651,                      1,                  0.995,                0.70163,                 1.0147,                0.61915,                 1.4356,              0.0013369,              0.0013369,              0.0013369
                     42,                0.75417,                0.48115,                  1.186,                0.97805,                      1,                  0.995,                0.73289,                0.94881,                0.58075,                 1.4468,              0.0013287,              0.0013287,              0.0013287
                     43,                0.73728,                0.48682,                 1.1729,                0.97903,                      1,                  0.995,                0.74617,                0.95987,                0.62657,                 1.4836,              0.0013204,              0.0013204,              0.0013204
                     44,                0.70813,                0.47375,                 1.1439,                0.96123,                      1,                  0.995,                0.72755,                 1.0221,                0.63214,                 1.5635,              0.0013122,              0.0013122,              0.0013122
                     45,                0.74885,                 0.4986,                 1.1953,                0.97106,                      1,                  0.995,                0.71639,                0.95891,                0.58465,                 1.4572,              0.0013039,              0.0013039,              0.0013039
                     46,                0.75856,                0.51244,                 1.1919,                0.96904,                      1,                  0.995,                 0.7426,                0.87495,                0.56797,                 1.3638,              0.0012957,              0.0012957,              0.0012957
                     47,                0.72406,                0.47589,                 1.1499,                0.97396,                      1,                  0.995,                 0.7708,                0.85339,                0.56301,                 1.3414,              0.0012874,              0.0012874,              0.0012874
                     48,                0.75885,                0.48474,                  1.203,                0.96953,                      1,                  0.995,                0.73151,                0.92969,                0.55757,                 1.3341,              0.0012792,              0.0012792,              0.0012792
                     49,                0.71971,                0.47707,                 1.1475,                0.97306,                      1,                  0.995,                0.73405,                0.98499,                0.57738,                 1.3305,              0.0012709,              0.0012709,              0.0012709
                     50,                 0.7299,                0.48008,                 1.1762,                0.96817,                      1,                  0.995,                0.75649,                0.89031,                0.53692,                 1.3507,              0.0012627,              0.0012627,              0.0012627
                     51,                 0.7925,                0.47964,                 1.1859,                0.95891,                      1,                  0.995,                0.75135,                0.91174,                0.53326,                 1.4218,              0.0012544,              0.0012544,              0.0012544
                     52,                0.73355,                0.53763,                  1.204,                 0.9688,                      1,                  0.995,                0.67541,                0.98405,                0.55881,                 1.3843,              0.0012462,              0.0012462,              0.0012462
                     53,                 0.7237,                0.48432,                  1.162,                 0.9749,                      1,                  0.995,                0.68762,                 1.0185,                0.58096,                 1.4449,              0.0012379,              0.0012379,              0.0012379
                     54,                0.73494,                 0.4955,                  1.161,                0.96743,                      1,                  0.995,                0.71923,                0.98743,                0.62515,                 1.4585,              0.0012297,              0.0012297,              0.0012297
                     55,                0.74913,                0.49845,                 1.1992,                0.96088,                      1,                  0.995,                0.72992,                0.96488,                0.61906,                 1.4363,              0.0012214,              0.0012214,              0.0012214
                     56,                0.74253,                0.50406,                 1.1735,                 0.9667,                      1,                  0.995,                0.74901,                0.90094,                0.56536,                 1.3826,              0.0012132,              0.0012132,              0.0012132
                     57,                0.71566,                0.47407,                 1.1879,                0.97031,                      1,                  0.995,                0.75914,                0.89344,                0.54619,                 1.3775,              0.0012049,              0.0012049,              0.0012049
                     58,                0.73272,                0.46965,                 1.1582,                 0.9752,                0.99286,                  0.995,                0.76013,                0.87625,                0.52895,                 1.3181,              0.0011967,              0.0011967,              0.0011967
                     59,                0.73008,                0.46936,                 1.1755,                0.97167,                0.99433,                  0.995,                0.78017,                0.83609,                0.50483,                 1.2628,              0.0011884,              0.0011884,              0.0011884
                     60,                0.68972,                0.43414,                 1.1434,                0.97653,                0.99576,                  0.995,                0.73563,                0.82433,                0.50714,                 1.2892,              0.0011802,              0.0011802,              0.0011802
                     61,                0.70047,                 0.4718,                  1.152,                0.97584,                      1,                  0.995,                0.73318,                0.90781,                0.55904,                  1.382,              0.0011719,              0.0011719,              0.0011719
                     62,                0.72099,                0.44543,                 1.1586,                0.97061,                      1,                  0.995,                0.75537,                0.95095,                0.55159,                 1.4024,              0.0011636,              0.0011636,              0.0011636
                     63,                0.70798,                0.43905,                 1.1364,                0.96732,                      1,                  0.995,                0.71827,                0.93703,                0.54297,                  1.366,              0.0011554,              0.0011554,              0.0011554
