                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.77766,                0.52026,                 1.2141,                0.92645,                   0.95,                0.94727,                0.68551,                 1.0694,                0.69755,                 1.5678,              0.0015735,              0.0015735,              0.0015735
                     36,                 0.7394,                0.51982,                 1.2124,                0.95499,                0.94921,                0.94864,                0.67198,                   1.12,                0.70015,                 1.6008,              0.0015707,              0.0015707,              0.0015707
                     37,                0.74566,                0.51053,                 1.2029,                 0.9135,                   0.95,                0.94927,                0.67593,                 1.1046,                0.69371,                  1.616,               0.001568,               0.001568,               0.001568
                     38,                0.73925,                0.48932,                 1.1794,                0.73577,                   0.95,                0.92538,                0.65279,                 1.0763,                0.93229,                 1.6054,              0.0015652,              0.0015652,              0.0015652
                     39,                0.73351,                0.49078,                 1.2054,                0.72632,                   0.95,                0.92985,                0.65245,                 1.1045,                0.92641,                 1.6414,              0.0015625,              0.0015625,              0.0015625
                     40,                0.79651,                0.51308,                 1.2158,                0.84732,                   0.95,                 0.9495,                0.69374,                 1.1519,                0.74058,                 1.6886,              0.0015597,              0.0015597,              0.0015597
                     41,                0.76823,                0.49738,                 1.1942,                0.87372,                   0.95,                0.94369,                0.64749,                 1.2295,                0.74056,                 1.7433,               0.001557,               0.001557,               0.001557
                     42,                0.80377,                0.48293,                 1.2065,                0.87265,                   0.95,                0.91967,                0.66688,                 1.1169,                0.80196,                 1.6553,              0.0015542,              0.0015542,              0.0015542
                     43,                0.74364,                0.48289,                 1.1951,                0.90773,                   0.95,                0.90587,                0.64092,                 1.1466,                0.68847,                 1.6608,              0.0015515,              0.0015515,              0.0015515
                     44,                0.76267,                0.48431,                 1.1661,                0.92949,                   0.95,                0.95119,                0.70253,                 1.0976,                 0.6699,                 1.6292,              0.0015487,              0.0015487,              0.0015487
                     45,                0.78667,                0.48934,                 1.2274,                0.94311,                   0.95,                0.95228,                0.71967,                 1.0596,                0.60943,                 1.5897,               0.001546,               0.001546,               0.001546
                     46,                0.78668,                0.50191,                 1.2095,                0.93345,                   0.95,                0.91798,                0.67397,                 1.1069,                0.68182,                 1.6174,              0.0015432,              0.0015432,              0.0015432
                     47,                0.72521,                0.46108,                 1.1744,                 0.9307,                   0.95,                0.91825,                0.68905,                 1.0105,                0.56103,                 1.5298,              0.0015405,              0.0015405,              0.0015405
                     48,                0.76355,                 0.4848,                 1.2149,                0.92539,                   0.95,                0.90732,                0.65194,                 1.0034,                0.55543,                 1.4928,              0.0015377,              0.0015377,              0.0015377
                     49,                0.74087,                0.47652,                 1.1674,                0.90518,                   0.95,                0.90614,                0.66581,                 1.0476,                0.58129,                 1.5345,               0.001535,               0.001535,               0.001535
                     50,                0.68676,                0.44637,                 1.1575,                0.89308,                   0.95,                0.90732,                0.65349,                 1.0589,                0.64841,                 1.5918,              0.0015322,              0.0015322,              0.0015322
                     51,                0.78465,                0.47778,                 1.1749,                0.92507,                   0.95,                0.90614,                0.67618,                  1.023,                0.55427,                 1.5081,              0.0015295,              0.0015295,              0.0015295
                     52,                0.74818,                0.48601,                 1.2121,                0.93143,                   0.95,                0.93527,                0.64165,                 1.1477,                0.61793,                 1.6513,              0.0015267,              0.0015267,              0.0015267
                     53,                0.77749,                0.49583,                 1.2091,                0.92575,                   0.95,                0.93005,                0.63543,                 1.0907,                 0.6136,                 1.5871,               0.001524,               0.001524,               0.001524
                     54,                0.72819,                0.46759,                 1.1583,                0.91745,                   0.95,                0.93958,                0.69631,                  1.014,                0.55526,                 1.5429,              0.0015212,              0.0015212,              0.0015212
                     55,                0.74647,                0.48994,                 1.1916,                0.93358,                   0.95,                0.95038,                    0.7,                 1.0537,                0.58583,                 1.5598,              0.0015185,              0.0015185,              0.0015185
