                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.80443,                0.42338,                 1.0699,                0.91826,                      1,                  0.995,                0.78263,                0.83715,                0.43669,                 1.1685,              0.0013782,              0.0013782,              0.0013782
                     37,                0.79494,                 0.4356,                 1.0951,                0.89563,                      1,                  0.995,                0.78044,                0.85254,                0.46788,                 1.2006,              0.0013699,              0.0013699,              0.0013699
                     38,                0.75967,                0.40871,                 1.0552,                  0.889,                      1,                  0.995,                0.73604,                0.93518,                0.51591,                 1.2801,              0.0013617,              0.0013617,              0.0013617
                     39,                0.78831,                0.41974,                 1.0992,                 0.9048,                      1,                  0.995,                0.76419,                0.87739,                0.51152,                 1.2186,              0.0013534,              0.0013534,              0.0013534
                     40,                 0.7694,                0.41107,                 1.0614,                0.98304,                      1,                  0.995,                0.73377,                0.98192,                0.46995,                 1.2669,              0.0013452,              0.0013452,              0.0013452
                     41,                0.79625,                0.41831,                 1.1078,                 0.9883,                      1,                  0.995,                0.76074,                0.96564,                0.46966,                 1.2402,              0.0013369,              0.0013369,              0.0013369
                     42,                0.80778,                0.40148,                 1.0791,                0.96207,                      1,                  0.995,                0.75876,                0.86486,                0.48367,                  1.196,              0.0013287,              0.0013287,              0.0013287
                     43,                0.77798,                0.40836,                 1.0978,                0.90784,                      1,                  0.995,                0.70725,                0.98321,                0.48515,                  1.268,              0.0013204,              0.0013204,              0.0013204
                     44,                0.77794,                0.39105,                 1.0629,                0.98484,                      1,                  0.995,                0.75103,                0.90545,                 0.4125,                 1.1992,              0.0013122,              0.0013122,              0.0013122
                     45,                0.77379,                0.39416,                  1.073,                0.98775,                      1,                  0.995,                0.79321,                0.82292,                0.39167,                 1.1332,              0.0013039,              0.0013039,              0.0013039
                     46,                0.76391,                0.40671,                 1.0566,                0.99056,                      1,                  0.995,                0.75465,                0.88462,                0.43884,                 1.1572,              0.0012957,              0.0012957,              0.0012957
